WKT,GEOCODE_9,TOTALVIEWS,LEADS,WALK_TRANSPORT_METRO,WALK_TRANSPORT_TRAIN,CAR_TRANSPORT_TRAIN,WALK_TRANSPORT_BUS,AVG_UNITPRICE,MED_UNITPRICE,MED_PRICE,N,STD_TRANSPORT_TRAIN,STD_TRANSPORT_METRO,STD_TRANSPORT_BUS,STD_TRANSPORT_COMMUTING_ALL,STD_TRANSPORT_COMMUTING_RAILWAY,h3_index
"POLYGON ((-3.99068780951176 40.2272723854628,-3.99244600537695 40.2260475977192,-3.99196863399408 40.22419420032,-3.98973317992292 40.2235656074811,-3.98797503928492 40.2247903657567,-3.98845229749023 40.2266437463381,-3.99068780951176 40.2272723854628))","617996733182902271",80.5,0.5,0.951229424500714,0,98.5110432610541,0,2090.90909090909,2090.90909090909,92000,"4",-0.644054158589951,-0.717167169469275,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c129b7ffff
"POLYGON ((-3.88090745130602 40.2032136053318,-3.88266523239784 40.2019908074208,-3.88219123350762 40.2001377849374,-3.87995956659346 40.1995075774178,-3.8782018410489 40.2007303459841,-3.8786757268706 40.2025833514137,-3.88090745130602 40.2032136053318))","617996733565370367",250.583333333333,2,0,0,90.4889967642969,0,1553.80070943245,1546.76258992806,212250,"12",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c14083ffff
"POLYGON ((-3.8836133076734 40.2056968456356,-3.88537114430748 40.2044740183779,-3.88489705013149 40.202620990747,-3.88266523239784 40.2019908074208,-3.88090745130602 40.2032136053318,-3.88138143240494 40.2050666159146,-3.8836133076734 40.2056968456356))","617996733566418943",77.4782608695652,0.478260869565217,0,0,92.2256172546067,0,1412.12877908883,1545.45454545455,170000,"23",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c14093ffff
"POLYGON ((-3.8796235759915 40.2062893555235,-3.88138143240494 40.2050666159146,-3.88090745130602 40.2032136053318,-3.8786757268706 40.2025833514137,-3.87691792601324 40.2038060616814,-3.87739179403458 40.2056590552074,-3.8796235759915 40.2062893555235))","617996733566681087",135.75,0.75,0,0,92.2889918913185,0,1466.66666666667,1466.66666666667,220000,"4",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c14097ffff
"POLYGON ((-3.88489705013149 40.202620990747,-3.88665481143971 40.2013981051935,-3.88618069948144 40.1995450656649,-3.88394893928236 40.198914928734,-3.88219123350762 40.2001377849374,-3.88266523239784 40.2019908074208,-3.88489705013149 40.202620990747))","617996733566943231",301,17,0,0,90.3965468952637,0,1282.60869565217,1282.60869565217,177000,"1",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c1409bffff
"POLYGON ((-3.84074886449182 40.1918642056192,-3.84250643005068 40.1906421094246,-3.84203368070808 40.1887892207604,-3.83980347882626 40.1881584454297,-3.83804596892733 40.1893805123233,-3.83851860524966 40.1912333838475,-3.84074886449182 40.1918642056192))","617996733580312575",103.333333333333,0,0,0,88.6194347290555,0,1642.42272727273,1677.26818181818,184499.5,"3",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c14167ffff
"POLYGON ((-3.8863194101725 40.2081800668672,-3.88807730234383 40.2069572102611,-3.88760311286886 40.2051041774958,-3.88537114430748 40.2044740183779,-3.8836133076734 40.2056968456356,-3.88408738406279 40.2075498613584,-3.8863194101725 40.2081800668672))","617996733626712063",211.130434782609,2,0,0,92.2889918913185,0,1391.15676248041,1347.82608695652,160000,"23",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c1442bffff
"POLYGON ((-3.88232947209828 40.2087726303104,-3.88408738406279 40.2075498613584,-3.8836133076734 40.2056968456356,-3.88138143240494 40.2050666159146,-3.8796235759915 40.2062893555235,-3.88009753929479 40.2081423541953,-3.88232947209828 40.2087726303104))","617996733626974207",122.5,2,0,0,92.2889918913185,0,1428.57142857143,1428.57142857143,200000,"4",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c1442fffff
"POLYGON ((-3.85710666345719 40.2153997737462,-3.85886476911039 40.2141775890868,-3.85839138909022 40.2123246877359,-3.85616001651434 40.211693988149,-3.85440196650382 40.2129161435014,-3.85487523342588 40.2147690277465,-3.85710666345719 40.2153997737462))","617996733642964991",153,2.17647058823529,0,0,96.2170202799932,0,1590.93139970815,1582.5311942959,149500,"34",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c14523ffff
"POLYGON ((-3.85311710811033 40.2159911247405,-3.85487523342588 40.2147690277465,-3.85440196650382 40.2129161435014,-3.85217068736421 40.2122853733636,-3.85041261770515 40.213507441056,-3.85088577152858 40.2153603081867,-3.85311710811033 40.2159911247405))","617996733643227135",169.558823529412,1.91176470588235,0,0,95.7639221239203,0,1478.9170607063,1391.49468417761,142450,"34",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c14527ffff
