WKT,LEVEL,h3_index,COMP_CAR_1,COMP_CAR_2,COMP_CAR_3,COMP_CAR_4,COMP_CAR_5,COMP_CAR_6,COMP_CAR_7
"POLYGON ((-3.63761249244165 40.4435345740699,-3.63937635932598 40.4423192870406,-3.63890795568107 40.4404677971139,-3.6366757988771 40.4398316118036,-3.63491198869342 40.4410468699481,-3.63538027861245 40.4428983422867,-3.63761249244165 40.4435345740699))",9,89390ca257bffff,1.07624839392407,1.92753807971486,0.108473888142253,-0.10258604556992,-0.833785717758178,-0.914471234159296,1.88594685952078
"POLYGON ((-3.64031324346442 40.4460222589924,-3.64207716704454 40.4448069430765,-3.64160866810831 40.4429554483099,-3.63937635932598 40.4423192870406,-3.63761249244165 40.4435345740699,-3.63808087764327 40.445386051254,-3.64031324346442 40.4460222589924))",9,89390ca2547ffff,1.0591863018905,2.00070139487562,0.113166119223291,-0.0721418506082064,-0.705466996949915,-0.87286017059172,1.83677963719278
"POLYGON ((-3.64560491992337 40.442376163929,-3.64736874921708 40.4411607007023,-3.64690011812135 40.4393091756251,-3.64466777145659 40.4386731313445,-3.64290399883595 40.4398885656755,-3.64337251620643 40.4417400731817,-3.64560491992337 40.442376163929))",9,89390ca254bffff,1.00129500749185,2.0258986209789,0.109057888974218,0.0429771501807547,-0.785195314629117,-0.951504864205515,1.51508671972867
"POLYGON ((-3.64160866810831 40.4429554483099,-3.64337251620643 40.4417400731817,-3.64290399883595 40.4398885656755,-3.64067174709234 40.4392524508759,-3.63890795568107 40.4404677971139,-3.63937635932598 40.4423192870406,-3.64160866810831 40.4429554483099))",9,89390ca254fffff,1.03192052299284,2.00428303752358,0.106341330490729,-0.160916045904555,-0.870691402875702,-0.916127108809695,1.66681493755832
"POLYGON ((-3.64701083481946 40.4479306930252,-3.64877479627674 40.4467152601108,-3.64830608829272 40.4448637429494,-3.64607353259392 40.4442276762694,-3.64430962781378 40.4454430802897,-3.64477822205475 40.447294579883,-3.64701083481946 40.4479306930252))",9,89390ca2553ffff,0.990631535395074,2.00852523753812,0.102644826312114,-0.0852299394982014,-0.574650132788629,-0.820119950346206,1.48760337781712
"POLYGON ((-3.6430142417837 40.4485099246875,-3.64477822205475 40.447294579883,-3.64430962781378 40.4454430802897,-3.64207716704454 40.4448069430765,-3.64031324346442 40.4460222589924,-3.64078172396204 40.447873741009,-3.6430142417837 40.4485099246875))",9,89390ca2557ffff,1.02355099071511,1.97165378379642,0.110078624751797,-0.0111094160327853,-0.582904892974957,-0.872048302791434,1.61055770533661
"POLYGON ((-3.64830608829272 40.4448637429494,-3.65006997425466 40.4436482508251,-3.64960124785014 40.4417967209195,-3.64736874921708 40.4411607007023,-3.64560491992337 40.442376163929,-3.64607353259392 40.4442276762694,-3.64830608829272 40.4448637429494))",9,89390ca255bffff,0.965661416565227,2.09995811643546,0.104059310985746,0.0839184416596657,-0.693042908864228,-0.710504330843692,1.2123940097357
"POLYGON ((-3.63361639296009 40.4441135412164,-3.63538027861245 40.4428983422867,-3.63491198869342 40.4410468699481,-3.63267992684759 40.440410614135,-3.63091609790964 40.4416257841856,-3.6313842741025 40.4434772389273,-3.63361639296009 40.4441135412164))",9,89390ca2563ffff,1.11212897101883,1.89070873178474,0.118226247985187,0.0748686625416386,-0.890221371383321,-0.812361145982559,2.01554312273941
"POLYGON ((-3.62962036970033 40.4446923497571,-3.6313842741025 40.4434772389273,-3.63091609790964 40.4416257841856,-3.62868413104049 40.4409894578778,-3.62692028336647 40.4422045398338,-3.62738834583288 40.4440559769702,-3.62962036970033 40.4446923497571))",9,89390ca2567ffff,1.14449910480439,1.89562760098515,0.114776728575446,-0.106662508888646,-0.983605688756034,-0.742895571065763,2.13463758307196
"POLYGON ((-3.63491198869342 40.4410468699481,-3.6366757988771 40.4398316118036,-3.63620749051012 40.4379801267298,-3.63397548567597 40.4373439173934,-3.63221173219774 40.4385591466552,-3.63267992684759 40.440410614135,-3.63491198869342 40.4410468699481))",9,89390ca256bffff,1.05690674729633,1.96538545818836,-0.00647916802720934,0.103863405782265,-0.804540792510923,-0.856203663102222,1.84471210925399
