WKT,LEVEL,h3_index,COMP_WALK_1,COMP_WALK_2,COMP_WALK_3,COMP_WALK_4,COMP_WALK_5,COMP_WALK_6
"POLYGON ((-3.6442633743512 40.5013833067983,-3.64508690991147 40.5011271623987,-3.64520510034388 40.5004246566341,-3.64449976802135 40.499978301083,-3.6436762475604 40.5002344455091,-3.64355804432283 40.5009369454598,-3.6442633743512 40.5013833067983))",10,8a390cb7248ffff,-5.5875122097,-0.303419421094408,-0.114826005068209,0.652048789304269,0.288432636658509,0.0661795107116079
"POLYGON ((-3.64026393402552 40.5019614289508,-3.6410874613809 40.5017053198481,-3.64120568704964 40.5010028317081,-3.640500398167 40.5005564584855,-3.63967688591183 40.5008125676159,-3.63955864743928 40.5015150499411,-3.64026393402552 40.5019614289508))",10,8a390cb724cffff,-5.25421111608655,-0.204942362362719,0.711733319110151,0.296909551112328,0.564879264380637,0.234056058770309
"POLYGON ((-3.64273451652988 40.5011930781026,-3.64355804432283 40.5009369454598,-3.6436762475604 40.5002344455091,-3.64297093580972 40.4997880840155,-3.64214742311628 40.5000442166853,-3.64202920707421 40.5007467108216,-3.64273451652988 40.5011930781026))",10,8a390cb724d7fff,-5.68762222118364,-0.33306725708779,-0.13398435971579,0.626208139267806,0.294262178277156,0.060344689297244
"POLYGON ((-3.64120568704964 40.5010028317081,-3.64202920707421 40.5007467108216,-3.64214742311628 40.5000442166853,-3.64144213193782 40.4995978492499,-3.64061862701294 40.4998539701637,-3.640500398167 40.5005564584855,-3.64120568704964 40.5010028317081))",10,8a390cb724dffff,-5.45433464560381,-0.287734993780006,-0.165750637530743,0.729532197236891,0.420689781680749,-0.0386368708383609
"POLYGON ((-3.76408911880169 40.3913783815673,-3.76491185530853 40.391120790529,-3.76502884115303 40.3904175523226,-3.76432310330413 40.3899719109483,-3.76350038183203 40.3902295019729,-3.76338338317426 40.3909327343855,-3.76408911880169 40.3913783815673))",10,8a390cba8057fff,14.522572424972,1.97078536706246,-0.489394319688288,0.181361542823596,1.52588701871354,-1.20962466730119
"POLYGON ((-3.76714613215009 40.3917544642205,-3.76796888397488 40.3914968496743,-3.76808584419086 40.3907935998813,-3.76738006539682 40.3903479704275,-3.76655732860644 40.3906055849591,-3.76644035557587 40.391308828959,-3.76714613215009 40.3917544642205))",10,8a390cba8007fff,11.4985527360581,1.55241623959511,-0.455089006983824,0.227206364657871,1.55329814205482,-1.14514859578774
"POLYGON ((-3.76561761140954 40.391566431751,-3.76644035557587 40.391308828959,-3.76655732860644 40.3906055849591,-3.76585157028478 40.3901599495447,-3.76502884115303 40.3904175523226,-3.76491185530853 40.391120790529,-3.76561761140954 40.391566431751))",10,8a390cba800ffff,12.5799274263631,1.87651317905729,-0.608046983743633,0.220210573439789,1.5384645900694,-1.21444913150722
"POLYGON ((-3.76655732860644 40.3906055849591,-3.76738006539682 40.3903479704275,-3.76749702883134 40.3896447204961,-3.76679126828961 40.3891990908895,-3.76596854653326 40.3894567054066,-3.76585157028478 40.3901599495447,-3.76655732860644 40.3906055849591))",10,8a390cba801ffff,15.7088588376141,2.15662590266957,0.267307664586296,0.126907417142555,2.2097023143906,-1.70322393234736
"POLYGON ((-3.76773495716525 40.3929033431894,-3.76855772402482 40.3926457286284,-3.76867468102193 40.3919424789745,-3.76796888397488 40.3914968496743,-3.76714613215009 40.3917544642205,-3.76702916233776 40.3924577080815,-3.76773495716525 40.3929033431894))",10,8a390cba8027fff,11.8770464106203,1.64141655488618,-0.313285628459363,0.171646730586289,1.5923943292136,-1.13331192944207
"POLYGON ((-3.76620640313648 40.3927153108879,-3.76702916233776 40.3924577080815,-3.76714613215009 40.3917544642205,-3.76644035557587 40.391308828959,-3.76561761140954 40.391566431751,-3.76550062878265 40.3922696698188,-3.76620640313648 40.3927153108879))",10,8a390cba802ffff,13.0342966671211,1.85855182240804,-0.0506201943620519,-0.0325179785659552,1.59113688791647,-1.03046535299563
"POLYGON ((-3.76314937947926 40.3923391931399,-3.76397212336089 40.3920816138415,-3.76408911880169 40.3913783815673,-3.76338338317426 40.3909327343855,-3.76256065432792 40.3911903136705,-3.76244364607389 40.3918935401507,-3.76314937947926 40.3923391931399))",10,8a390cba8047fff,16.1733172790119,2.1731556236489,0.708550244100116,-0.322529035259699,1.91632248588876,-1.07306854768139
"POLYGON ((-3.76162090985361 40.3921511076956,-3.76244364607389 40.3918935401507,-3.76256065432792 40.3911903136705,-3.76185493917446 40.3907446605295,-3.76103221798965 40.3910022280616,-3.76091519692303 40.3917054487474,-3.76162090985361 40.3921511076956))",10,8a390cba804ffff,15.9857870331433,2.24106489447251,-0.355901102234221,0.113566493330729,1.4334103236713,-1.24848379252147
"POLYGON ((-3.76256065432792 40.3911903136705,-3.76338338317426 40.3909327343855,-3.76350038183203 40.3902295019729,-3.76279466445626 40.3897838546394,-3.76197195064483 40.3900414339111,-3.76185493917446 40.3907446605295,-3.76256065432792 40.3911903136705))",10,8a390cba805ffff,15.2170726951168,2.0987359658242,-0.444805217663186,0.197836863392467,1.47762225798502,-1.18283987354986
"POLYGON ((-3.7637381260999 40.3934880723181,-3.76456088501721 40.3932304930062,-3.76467787724068 40.392527260871,-3.76397212336089 40.3920816138415,-3.76314937947926 40.3923391931399,-3.76303237444192 40.3930424194813,-3.7637381260999 40.3934880723181))",10,8a390cba8067fff,13.5297474599481,1.85356239612917,-0.544244041724057,0.228042602394101,1.53899890685741,-1.22183906145029
"POLYGON ((-3.7622096231858 40.3932999870393,-3.76303237444192 40.3930424194813,-3.76314937947926 40.3923391931399,-3.76244364607389 40.3918935401507,-3.76162090985361 40.3921511076956,-3.76150389200306 40.3928543282429,-3.7622096231858 40.3932999870393))",10,8a390cba806ffff,12.827113785496,1.79607078348907,-0.583111258158511,0.137174568256838,1.24339534530908,-1.07203792197244
"POLYGON ((-3.76467787724068 40.392527260871,-3.76550062878265 40.3922696698188,-3.76561761140954 40.391566431751,-3.76491185530853 40.391120790529,-3.76408911880169 40.3913783815673,-3.76397212336089 40.3920816138415,-3.76467787724068 40.392527260871))",10,8a390cba8077fff,13.685320239813,1.86695069067742,-0.205414669776102,0.0261811507305766,1.5647864724735,-1.09325238247935
"POLYGON ((-3.76843671208419 40.3886838383629,-3.76925943412171 40.3884262003534,-3.76937637836491 40.3877229385605,-3.76867061338477 40.38727732057,-3.76784790638016 40.3875349585644,-3.76773094932295 40.3882382145643,-3.76843671208419 40.3886838383629))",10,8a390cba8087fff,13.9214151867852,1.99750187843749,-0.326349838996144,0.175440158859338,1.71020334788454,-1.62034405721591
"POLYGON ((-3.76690823494231 40.3884958408202,-3.76773094932295 40.3882382145643,-3.76784790638016 40.3875349585644,-3.76714216187027 40.3870893346137,-3.76631946252274 40.3873469608549,-3.76620249265218 40.3880502110615,-3.76690823494231 40.3884958408202))",10,8a390cba808ffff,14.9039277868959,2.42777622885381,-0.327852704515282,-0.087507332323232,1.40562784856479,-1.45202505684003
"POLYGON ((-3.76784790638016 40.3875349585644,-3.76867061338477 40.38727732057,-3.76878756084674 40.3865740586401,-3.76808181411768 40.3861284404976,-3.76725912214563 40.3863860784769,-3.76714216187027 40.3870893346137,-3.76784790638016 40.3875349585644))",10,8a390cba809ffff,14.3144170793834,2.40757704383434,-0.360680794680681,-0.0925488900623975,1.42634559282194,-1.50039330450033
"POLYGON ((-3.76902553925873 40.3898327178712,-3.76984827632958 40.3895750798465,-3.76996521735367 40.3888718181912,-3.76925943412171 40.3884262003534,-3.76843671208419 40.3886838383629,-3.76831975824545 40.3893870942254,-3.76902553925873 40.3898327178712))",10,8a390cba80a7fff,13.6370554023011,1.79310112404872,-0.446472930759099,0.391827653724105,1.82125474731791,-1.72803989327522
"POLYGON ((-3.76749702883134 40.3896447204961,-3.76831975824545 40.3893870942254,-3.76843671208419 40.3886838383629,-3.76773094932295 40.3882382145643,-3.76690823494231 40.3884958408202,-3.76679126828961 40.3891990908895,-3.76749702883134 40.3896447204961))",10,8a390cba80affff,13.8940554268222,1.91754186382232,-0.273760307779752,0.257032274356438,1.71112152874688,-1.60903456704641
"POLYGON ((-3.75797542972517 40.3906260037122,-3.75879813558381 40.3903684596849,-3.75891517267745 40.3896652446559,-3.75820951672327 40.3892195794493,-3.75738682590006 40.3894771234647,-3.75726977599579 40.3901803326985,-3.75797542972517 40.3906260037122))",10,8a390cba8237fff,19.5119154746866,3.17907697758863,-0.951894906437245,0.328047281226236,1.85960641647115,0.26731611013713
"POLYGON ((-3.76738405100582 40.3950130682815,-3.76820684027814 40.3947554654462,-3.76832380365298 40.3940522218645,-3.7676179905715 40.393606586911,-3.76679521633489 40.3938641897318,-3.76667824014423 40.3945674275206,-3.76738405100582 40.3950130682815))",10,8a390cba8177fff,11.3050781286067,1.41744692770775,-0.472236676099252,0.373685451836051,1.88297658144055,-1.35732495686107
"POLYGON ((-3.77055407781405 40.3900206975308,-3.77137682254062 40.3897630477517,-3.77149375074941 40.3890597803039,-3.7707879470471 40.3886141684278,-3.76996521735367 40.3888718181912,-3.76984827632958 40.3895750798465,-3.77055407781405 40.3900206975308))",10,8a390cba819ffff,12.1816373127377,1.66912472643269,-0.454618261893455,0.26754212767374,1.37658128973199,-1.44827203674742
"POLYGON ((-3.75644707780177 40.390437864974,-3.75726977599579 40.3901803326985,-3.75738682590006 40.3894771234647,-3.75668119042048 40.389031452302,-3.75585850726206 40.389288984566,-3.75574144454781 40.3899921880042,-3.75644707780177 40.390437864974))",10,8a390cba8207fff,19.4417648621308,3.28178382436736,-0.852638769842583,0.143975231827567,1.9533049433732,0.315914477920606
"POLYGON ((-3.75491875401945 40.3902497085284,-3.75574144454781 40.3899921880042,-3.75585850726206 40.389288984566,-3.75515289225746 40.3888433074478,-3.75433021676486 40.3891008279609,-3.7542131412413 40.3898040256032,-3.75491875401945 40.3902497085284))",10,8a390cba820ffff,16.4369336974445,2.79767893745379,-1.30142317463235,0.0583803856402154,1.35915901789551,0.898680085373566
